title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,rating_norm,seasons_norm,votes_norm,success_score,is_successful,title_has_high_animal,title_has_low_animal,title_has_hero_keyword,title_word_count,title_has_character
PB Bear and Friends,1998,1998,1,30,United Kingdom,Stop Motion,Modern (97-09),0,8.1,33.0,5,"Animation,Family",0.8481012658227846,0.0,3.6029596151462665e-05,0.3392495137281517,1,1,0,0,4,1
PB&J Otter,1998,2000,3,65,United States,Traditional,Modern (97-09),2,6.9,1812.0,15.0,"Animation,Comedy,Family",0.6962025316455696,0.0625,0.0025998956582895453,0.3010059865728002,0,0,0,0,2,1
Pecola,2001,2002,1,26,Coproduction,CGI,Modern (97-09),1,5.5,181.0,30.0,"Animation,Family",0.5189873417721519,0.0,0.00024932480536812157,0.20765726791020278,0,0,0,0,1,0
Pinecone & Pony,2022,2022,1,8,United States,Flash,Streaming Era (2010+),0,6.5,175.0,,"Adventure,Animation,Comedy",0.6455696202531644,0.0,0.00024067770229177057,0.2582880175268388,0,0,0,0,3,1
Pablo the Little Red Fox,1999,1999,1,52,United Kingdom,Traditional,Modern (97-09),0,8.1,81.0,5.0,"Adventure,Animation,Family",0.8481012658227846,0.0,0.00010520642076227097,0.3392668079343044,1,0,0,0,5,1
Ping and Friends,2018,2019,1,52,Canada Brazil,Flash,Streaming Era (2010+),1,8.1,39.0,7.0,Animation,0.8481012658227846,0.0,4.46766992278137e-05,0.3392516755039208,1,0,0,0,3,1
Pinkalicious & Peterrific,2018,,3,54,United States,Flash,Streaming Era (2010+),5,5.1,201.0,30.0,"Animation,Family,Fantasy",0.4683544303797468,0.0625,0.0002781484822892917,0.20928630927247105,0,0,0,0,3,1
Popeye and Son,1987,1988,1,13,United States,Traditional,Golden Age (85-96),1,5.7,409.0,30.0,"Adventure,Animation,Comedy",0.5443037974683544,0.0,0.000577914722269461,0.21786599766790915,0,0,0,0,3,1
Popples,2015,2016,3,26,Coproduction,CGI,Streaming Era (2010+),1,6.4,86.0,,"Animation,Family",0.6329113924050632,0.0625,0.0001124123399925635,0.2750676600470234,0,0,0,0,1,0
Postcards from Buster,2004,2012,4,55,Coproduction,Traditional/Live-action,Modern (97-09),8,5.8,268.0,22.0,"Animation,Comedy,Family",0.5569620253164557,0.09375,0.0003747077999752116,0.25569098707657606,0,0,0,0,3,1
Pound Puppies,2010,2013,3,65,Coproduction,Flash,Streaming Era (2010+),3,6.2,729.0,,"Adventure,Animation,Comedy",0.6075949367088607,0.0625,0.0010390935530081831,0.2651727480717963,0,0,0,0,2,1
Powerbirds,2020,,1,10,United States,Flash,Streaming Era (2010+),3,7.6,49.0,22,"Action,Adventure,Animation",0.7848101265822783,0.0,5.908853768839877e-05,0.3139388227673334,0,0,0,0,1,0
Presto! School of Magic,2021,,1,26,France,CGI,Streaming Era (2010+),2,8.7,20.0,11.0,"Action,Animation,Comedy",0.9240506329113921,0.0,1.7294206152702074e-05,0.36962457671609505,1,0,0,0,4,1
Preston Pig,2000,2000,1,10,United Kingdom,Traditional,Modern (97-09),0,6.2,45.0,15.0,"Animation,Family",0.6075949367088607,0.0,5.332380230416473e-05,0.2430513056341203,0,0,1,0,2,1
Primal,2019,,2,13,United States,Traditional,Streaming Era (2010+),4,8.6,29695.0,22.0,"Action,Adventure,Animation",0.911392405063291,0.03125,0.04278442483793888,0.38619056823480113,1,0,0,0,1,0
Princess Sissi,1997,1998,2,52,Coproduction,Traditional,Modern (97-09),1,6.9,914.0,30.0,"Adventure,Animation,Comedy",0.6962025316455696,0.03125,0.0013057125645290068,0.2897449407993601,0,0,0,0,2,1
Princesse Shéhérazade,1996,1999,1,52,France,Traditional,Golden Age (85-96),3,7.4,154.0,25.0,"Adventure,Animation,Comedy",0.7594936708860759,0.0,0.00021041284152454194,0.30385007156481153,0,0,0,0,2,1
Power Players,2019,2020,2,78,Coproduction,CGI,Streaming Era (2010+),1,5.1,143.0,11.0,"Action,Adventure,Animation",0.4683544303797468,0.03125,0.00019455981921789837,0.1983279121067032,0,0,0,1,2,1
Pongwiffy,2002,2004,1,13,United Kingdom,Traditional,Modern (97-09),2,8.2,28.0,,"Animation,Comedy,Family",0.8607594936708859,0.0,2.882367692117013e-05,0.3443110033875847,1,0,0,0,1,0
Pond Life,1996,1996,2,21,United Kingdom,Traditional,Golden Age (85-96),0,8.0,164.0,30.0,"Animation,Comedy",0.8354430379746834,0.03125,0.000224824679985127,0.3451709213598697,1,0,0,0,2,1
Polly Pocket,2018,,3,66,Coproduction,Flash,Streaming Era (2010+),5,5.9,232.0,22.0,"Action,Adventure,Animation",0.569620253164557,0.0625,0.0003228251815171054,0.24980380756120207,0,0,0,0,2,1
Pinkfong Wonderstar,2019,,3,44,South Korea,CGI,Streaming Era (2010+),4,6.5,68.0,,"Animation,Comedy,Drama",0.6455696202531644,0.0625,8.647103076351038e-05,0.2801244658589567,0,0,0,0,2,1
Pinky and the Brain,1995,1998,4,66,United States,Traditional,Golden Age (85-96),3,7.8,35147.0,30.0,"Adventure,Animation,Comedy",0.8101265822784809,0.09375,0.050641759166649855,0.36952357270305486,1,0,0,0,4,1
"Pinky, Elmyra & the Brain",1998,1999,1,13,United States,Traditional,Modern (97-09),1,5.8,1054.0,30.0,"Adventure,Animation,Comedy",0.5569620253164557,0.0,0.0015074783029771978,0.22316167970232656,0,0,0,0,5,1
Pippi Longstocking,1997,1997,2,26,Coproduction,Traditional,Modern (97-09),0,6.2,783.0,30.0,"Adventure,Animation,Comedy",0.6075949367088607,0.03125,0.0011169174806953425,0.2542547040537181,0,0,0,0,2,1
Pirate Express,2015,2015,1,26,Coproduction,Flash,Streaming Era (2010+),0,7.5,39.0,22.0,Animation,0.7721518987341771,0.0,4.46766992278137e-05,0.30887192866847785,0,0,0,0,2,1
PJ Masks,2015,,6,103,France,CGI,Streaming Era (2010+),8,5.3,2023.0,24.0,"Action,Adventure,Animation",0.49367088607594933,0.15625,0.00290398544980789,0.2528818507928317,0,0,0,0,2,1
Planet Sheen,2010,2013,1,50,United States,CGI,Streaming Era (2010+),3,3.0,2532.0,30.0,"Adventure,Animation,Comedy",0.2025316455696202,0.0,0.00363754802745167,0.081922045234711,0,0,0,0,2,1
Plonsters,1987,1987,1,13,Germany,Stop Motion,Golden Age (85-96),0,7.0,147.0,,"Adventure,Animation,Comedy",0.7088607594936708,0.0,0.00020032455460213238,0.2835943849361188,0,0,0,0,1,0
Pocoyo,2005,,4,104,Coproduction,CGI,Modern (97-09),18,7.1,2879.0,7.0,"Adventure,Animation,Comedy",0.721518987341772,0.09375,0.004137638822033972,0.32245450464221725,1,0,0,0,1,0
Pink Panther and Pals,2010,2010,1,26,United States,Traditional/Toon Boom,Streaming Era (2010+),0,6.7,1022.0,25.0,"Adventure,Animation,Comedy",0.670886075949367,0.0,0.0014613604199033255,0.2687197704847227,0,0,0,0,4,1
Mumble Bumble,1999,1999,1,65,Coproduction,Traditional,Modern (97-09),0,8.4,27.0,5.0,"Animation,Family,Short",0.8860759493670886,0.0,2.738249307511162e-05,0.35443722537010425,1,0,0,0,2,1
Pablo,2017,,2,105,United Kingdom,CGI,Streaming Era (2010+),6,7.9,74.0,,"Animation,Comedy,Family",0.8227848101265822,0.03125,9.511813383986143e-05,0.3400752035840928,1,0,0,0,1,0
Ozzy & Drix,2002,2004,2,26,United States,Traditional,Modern (97-09),2,6.9,1696.0,30.0,"Action,Adventure,Animation",0.6962025316455696,0.03125,0.002432718332146759,0.29002669224126454,0,0,0,0,3,1
Neighbors from Hell,2010,2010,1,10,United States,Flash,Streaming Era (2010+),0,5.9,830.0,30.0,"Animation,Comedy",0.569620253164557,0.0,0.0011846531214600923,0.22814426454618783,0,0,0,0,3,1
Nella the Princess Knight,2017,2021,2,52,Coproduction,Flash/Toon Boom,Streaming Era (2010+),4,5.1,232.0,22.0,"Action,Adventure,Animation",0.4683544303797468,0.03125,0.0003228251815171054,0.19835997844727798,0,0,0,0,4,1
Nellie the Elephant,1990,1991,2,30,United Kingdom,Traditional,Golden Age (85-96),1,6.2,75.0,5,"Adventure,Animation,Drama",0.6075949367088607,0.03125,9.655931768591992e-05,0.2539996145129657,0,0,0,0,3,1
New Kids on the Block,1990,1991,1,15,United States,Traditional,Golden Age (85-96),1,4.4,170.0,30.0,"Adventure,Animation,Family",0.379746835443038,0.0,0.00023347178306147806,0.15195710212298058,0,0,0,0,5,1
New Looney Tunes,2015,2020,3,156,United States,Flash/Traditional,Streaming Era (2010+),5,5.8,1408.0,11.0,"Adventure,Animation,Comedy",0.5569620253164557,0.0625,0.002017657384481909,0.24516422447270275,0,0,0,0,3,1
NFL Rush Zone,2010,2014,3,65,United States,Traditional,Streaming Era (2010+),4,6.2,141.0,,"Action,Animation,Comedy",0.6075949367088607,0.0625,0.00019167745152578135,0.2649608940464257,0,0,0,0,3,1
Ned's Newt,1997,1999,3,39,Coproduction,Traditional,Modern (97-09),2,6.4,615.0,30.0,"Animation,Comedy,Family",0.6329113924050632,0.0625,0.0008747985945575133,0.2752582566106646,0,0,0,0,2,1
Night Sweats,2015,2015,1,26,Canada,Traditional,Streaming Era (2010+),0,6.5,17.0,22.0,"Animation,Comedy",0.6455696202531644,0.0,1.2970654614526557e-05,0.25823109076491946,0,0,0,0,2,1
Niloya,2014,2020,6,156,Turkey,CGI,Streaming Era (2010+),6,6.9,137.0,,Animation,0.6962025316455696,0.15625,0.0001859127161415473,0.33321499083726325,1,0,0,0,1,0
Nilus the Sandman,1996,1998,2,26,Canada,"Traditional, Live-Action",Golden Age (85-96),2,7.5,35.0,,"Animation,Family",0.7721518987341771,0.03125,3.891196384357968e-05,0.31980798748463174,0,0,0,0,3,1
Nina's World,2015,2018,2,52,Coproduction,Flash,Streaming Era (2010+),3,6.6,99.0,22.0,"Animation,Family",0.6582278481012657,0.03125,0.00013114772999132409,0.2742614261730041,0,0,0,0,2,1
Noah's Island,1997,1999,3,39,United Kingdom,Traditional,Modern (97-09),2,7.3,718.0,25.0,"Adventure,Animation,Family",0.7468354430379746,0.0625,0.0010232405307015397,0.3208649873478652,1,0,0,0,2,1
Noddy,1998,2000,2,66,Coproduction,"Stop-Motion, Live-Action",Modern (97-09),2,5.6,1772.0,30.0,"Animation,Comedy,Family",0.5316455696202531,0.03125,0.0025422483044472053,0.22423128992421304,0,0,0,0,1,0
Nightmare Ned,1997,1997,1,12,United States,Traditional,Modern (97-09),0,7.1,166.0,30.0,"Animation,Comedy,Family",0.721518987341772,0.0,0.00022770704767724402,0.2886645216986281,0,0,0,0,2,1
Nature Cat,2015,2021,3,76,Coproduction,Flash,Streaming Era (2010+),6,7.3,512.0,24.0,"Action,Adventure,Animation",0.7468354430379746,0.0625,0.0007263566584134872,0.3207907663797932,1,0,0,0,2,1
NASCAR Racers,1999,2001,2,26,Coproduction,Traditional,Modern (97-09),2,6.3,959.0,30.0,"Action,Adventure,Animation",0.6202531645569619,0.03125,0.0013705658376016398,0.2593814072821852,0,0,0,0,2,1
Muppet Babies,2018,2022,3,62,United States,CGI,Streaming Era (2010+),4,6.5,948.0,23.0,"Adventure,Animation,Comedy",0.6455696202531644,0.0625,0.0013547128152949961,0.28044152630508956,0,0,0,0,2,1
Music Up,2001,2001,1,52,China,Traditional,Modern (97-09),0,7.7,10.0,,"Adventure,Animation,Music",0.7974683544303797,0.0,2.8823676921170123e-06,0.3189880623640749,0,0,0,0,2,1
Mutant League,1994,1996,2,40,United States,Traditional,Golden Age (85-96),2,7.5,167.0,30.0,"Action,Animation,Horror",0.7721518987341771,0.03125,0.00022914823152330252,0.3198555465515517,0,0,0,1,2,1
My Gym Partner's a Monkey,2005,2008,4,100,United States,Traditional,Modern (97-09),3,5.8,7902.0,22.0,"Adventure,Animation,Comedy",0.5569620253164557,0.09375,0.01137670528078585,0.2584414864467787,0,0,0,0,5,1
My Life Me,2010,2011,2,52,Coproduction,Flash,Streaming Era (2010+),1,4.4,443.0,22.0,"Animation,Comedy,Family",0.379746835443038,0.03125,0.0006269149730354503,0.16299296292047408,0,0,0,0,3,1
My Little Pony Tales,1992,1992,1,26,United States,Traditional,Golden Age (85-96),0,6.4,1500.0,30.0,"Adventure,Animation,Family",0.6329113924050632,0.0,0.0021502462983192913,0.2537021185366051,0,0,0,0,4,1
My Little Pony: Friendship Is Magic,2010,2019,9,222,Coproduction,Flash,Streaming Era (2010+),9,7.8,25933.0,22.0,"Adventure,Animation,Comedy",0.8101265822784809,0.25,0.037362691209066774,0.42089130571365907,1,0,0,0,6,1
My Little Pony: Make Your Mark,2022,,1,8,United States,CGI,Streaming Era (2010+),1,5.9,837.0,44.0,"Adventure,Animation,Comedy",0.569620253164557,0.0,0.001194741408382502,0.22814678661791843,0,0,0,0,6,1
My Little Pony: Pony Life,2020,,1,52,Coproduction,Flash,Streaming Era (2010+),3,5.0,634.0,11.0,"Adventure,Animation,Comedy",0.45569620253164556,0.0,0.000902181087632625,0.18250402628456638,0,0,0,0,5,1
My Little Pony: Tell Your Tale,2022,,1,27,United States,Flash,Streaming Era (2010+),1,5.2,295.0,5.0,"Adventure,Animation,Comedy",0.4810126582278481,0.0,0.0004136197638187913,0.19250846823209397,0,0,0,0,6,1
My Pet Monster,1987,1987,1,13,Canada,Traditional,Golden Age (85-96),0,6.8,525.0,30.0,"Animation,Comedy,Family",0.6835443037974682,0.0,0.0007450920484122478,0.27360399453109036,0,0,0,0,3,1
P. King Duckling,2016,2017,2,78,Coproduction,Flash,Streaming Era (2010+),1,6.2,54.0,,"Animation,Family",0.6075949367088607,0.03125,6.629445691869129e-05,0.25399204829777394,0,0,0,0,3,1
Noddy's Toyland Adventures,1992,2001,4,53,United Kingdom,Stop-motion,Golden Age (85-96),9,6.1,267.0,10.0,"Animation,Family",0.5949367088607593,0.09375,0.00037326661612915315,0.27088050019833604,0,0,0,0,3,1
Numb Chucks,2014,2016,2,52,Canada,Flash,Streaming Era (2010+),2,5.0,194.0,22,"Action,Animation,Comedy",0.45569620253164556,0.03125,0.00026806019536688216,0.19328299606149993,0,0,0,0,2,1
Om Nom Stories,2011,,19,181,Coproduction,"Flash, Live-Action (seasons 1–2)",Streaming Era (2010+),12,6.0,191.0,3.0,"Action,Adventure,Animation",0.5822784810126581,0.5625,0.00026373664382870664,0.4298523265660204,1,0,0,0,3,1
Once Upon a Time... Life,1987,1987,1,26,France,Traditional,Golden Age (85-96),0,8.2,6048.0,30.0,"Animation,Family",0.8607594936708859,0.0,0.00870475043019338,0.3464799850759027,1,0,0,0,5,1
Once Upon a Time... The Americas,1991,1991,1,26,France,Traditional,Golden Age (85-96),0,7.3,1013.0,30.0,"Adventure,Animation,Comedy",0.7468354430379746,0.0,0.001448389765288799,0.29909627465651206,0,0,0,0,6,1
Once Upon a Time... The Discoverers,1994,1994,1,26,France,Traditional,Golden Age (85-96),0,7.6,1375.0,30.0,"Animation,Family,History",0.7848101265822783,0.0,0.001970098317561978,0.3144165752123018,0,0,0,0,6,1
Once Upon a Time... The Explorers,1996,1996,1,26,France,Traditional,Golden Age (85-96),0,7.5,1189.0,30.0,"Animation,Family,History",0.7721518987341771,0.0,0.0017020381221950962,0.30928626902421963,0,0,0,0,6,1
Onyx Equinox,2020,2020,1,12,United States,Traditional,Streaming Era (2010+),0,7.0,614.0,,"Action,Adventure,Animation",0.7088607594936708,0.0,0.0008733574107114548,0.28376264315014615,0,0,0,0,2,1
Olliver's Adventures,2002,2002,3,39,Canada,Flash,Modern (97-09),0,6.3,120.0,22.0,Animation,0.6202531645569619,0.0625,0.00016141259075855272,0.2700166189704744,0,0,0,0,2,1
Oswald,2001,2003,1,24,Coproduction,Traditional,Modern (97-09),2,7.6,2537.0,30.0,"Animation,Family,Musical",0.7848101265822783,0.0,0.0036447539466819626,0.31483523911958183,0,0,0,0,1,0
Oswaldo,2017,,2,26,Brazil,Flash,Streaming Era (2010+),6,7.9,272.0,,"Animation,Comedy,Family",0.8227848101265822,0.03125,0.00038047253535944566,0.34014654218447277,1,0,0,0,1,0
Our Cartoon President,2018,2020,3,46,United States,Flash,Streaming Era (2010+),2,5.5,3975.0,30.0,"Adventure,Animation,Comedy",0.5189873417721519,0.0625,0.005717176317314094,0.23089923078818927,0,0,0,0,3,1
Out of Jimmy's Head,2007,2008,1,20,United States,Flash/Live-Action,Modern (97-09),1,2.4,968.0,30.0,"Animation,Comedy,Family",0.12658227848101264,0.0,0.0013835364922161661,0.0509787955154591,0,0,0,0,4,1
Out There,2013,2013,1,10,United States,Flash,Streaming Era (2010+),0,6.6,853.0,,"Animation,Comedy,Drama",0.6582278481012657,0.0,0.001217800349919438,0.26359558932798616,0,0,0,0,2,1
Ovide and the Gang,1987,1988,1,65,Canada,Traditional,Golden Age (85-96),1,7.1,303.0,30.0,"Animation,Family",0.721518987341772,0.0,0.00042514923458725933,0.2887138822453556,0,0,0,0,4,1
Ollie's Pack,2020,2021,1,20,Canada,Traditional,Streaming Era (2010+),1,6.0,205.0,22,"Animation,Comedy,Family",0.5822784810126581,0.0,0.00028391321767352575,0.23298237070948163,0,0,0,0,2,1
Old Bear Stories,1993,1997,3,41,United Kingdom,Traditional,Golden Age (85-96),4,8.4,234.0,10.0,"Animation,Family,Short",0.8860759493670886,0.0625,0.00032570754920922243,0.3763868066341377,1,1,0,0,3,1
Oakie Doke,1995,1996,2,28,United Kingdom,Traditional,Golden Age (85-96),1,7.1,186.0,,"Animation,Family",0.721518987341772,0.03125,0.00025653072459841413,0.2996092276178584,0,0,0,0,2,1
Object Mayhem,2012,,3,21,Ireland,Flash,Streaming Era (2010+),11,8.7,27.0,,"Animation,Comedy,Reality-TV",0.9240506329113921,0.0625,2.738249307511162e-05,0.39150209878782566,1,0,0,0,2,1
Octonauts: Above & Beyond,2021,,2,26,Coproduction,CGI,Streaming Era (2010+),2,7.2,246.0,25.0,"Adventure,Animation,Family",0.7341772151898733,0.03125,0.0003430017553619245,0.30469413651478977,0,0,0,0,4,1
Odo,2021,,1,14,United States,Flash,Streaming Era (2010+),2,7.8,55.0,7.0,"Animation,Family",0.8101265822784809,0.0,6.77356407647498e-05,0.32406756682158355,1,0,0,0,1,0
Off the Air,2011,,12,43,United States,"Traditional, Flash, CGI, Live-action, Stop Motion",Streaming Era (2010+),12,8.4,1145.0,11.0,"Animation,Comedy,Horror",0.8860759493670886,0.34375,0.0016386260329685218,0.4751525362550776,1,0,0,0,3,1
Oggy and the Cockroaches: Next Generation,2022,,1,13,France,Flash,Streaming Era (2010+),1,5.7,197.0,,"Adventure,Animation,Comedy",0.5443037974683544,0.0,0.00027238374690505767,0.21778961492406806,0,0,0,0,6,1
Oh No! It's an Alien Invasion,2013,2015,2,40,Canada,CGI,Streaming Era (2010+),2,2.7,210.0,11.0,"Action,Adventure,Animation",0.16455696202531647,0.03125,0.00029111913690381825,0.07683306459435255,0,0,0,0,6,1
Oh Noah!,2011,2013,1,15,Canada,Flash,Streaming Era (2010+),2,7.8,32.0,,"Adventure,Animation,Family",0.8101265822784809,0.0,3.4588412305404155e-05,0.3240592800144687,1,0,0,0,2,1
Oh Yeah! Cartoons,1998,2001,3,32,United States,"Traditional, CGI",Modern (97-09),3,7.3,368.0,,"Action,Adventure,Animation",0.7468354430379746,0.0625,0.0005188261845810622,0.3207388837613351,1,0,0,0,3,1
Leo the Wildlife Ranger,2015,2021,2,126,Singapore,CGI,Streaming Era (2010+),6,8.3,49.0,22.0,Animation,0.8734177215189872,0.03125,5.908853768839877e-05,0.360319360742017,1,0,0,1,4,1
Lego Star Wars: The Yoda Chronicles,2013,2014,1,7,Denmark,CGI,Streaming Era (2010+),1,7.0,1330.0,25.0,"Action,Adventure,Animation",0.7088607594936708,0.0,0.0019052450444893454,0.28402061505859066,0,0,0,0,6,1
G.I. Joe Extreme,1995,1997,2,26,United States,Traditional,Golden Age (85-96),2,5.1,197.0,,"Action,Animation",0.4683544303797468,0.03125,0.00027238374690505767,0.198347368088625,0,0,0,0,3,1
G.I. Joe: Renegades,2010,2011,1,26,United States,Traditional,Streaming Era (2010+),1,7.1,1308.0,,"Action,Adventure,Animation",0.721518987341772,0.0,0.0018735389998760584,0.2890759796866778,0,0,0,0,3,1
Gabby's Dollhouse,2021,,4,33,United States,CGI/Live-Action,Streaming Era (2010+),2,7.1,1110.0,24.0,"Adventure,Animation,Comedy",0.721518987341772,0.09375,0.001588184598356474,0.3218171410862979,1,0,0,0,2,1
Futurama,1999,2003,7,140,United States,Traditional,Modern (97-09),4,8.5,278642.0,22.0,"Adventure,Animation,Comedy",0.8987341772151897,0.1875,0.40156281976266583,0.5255093758267423,1,0,0,0,1,0
Garfield and Friends,1988,1994,7,121,United States,Traditional,Golden Age (85-96),6,7.2,14964.0,30.0,"Animation,Comedy,Family",0.7341772151898733,0.1875,0.02155434560165102,0.36468447247636204,1,0,0,0,3,1
Gary & Mike,2001,2001,1,13,United States,Stop Motion,Modern (97-09),0,7.5,318.0,22.0,"Animation,Comedy",0.7721518987341771,0.0,0.00044676699227813696,0.3089724512417404,0,0,0,0,3,1
Gawayn,2009,2012,2,104,France,Flash,Modern (97-09),3,6.5,144.0,13.0,"Adventure,Animation,Comedy",0.6455696202531644,0.03125,0.00019600100306395687,0.2692143483520318,0,0,0,0,1,0
Generation O!,2000,2001,1,13,United States,Traditional,Modern (97-09),1,6.6,84.0,26.0,"Animation,Comedy,Family",0.6582278481012657,0.0,0.00010952997230044648,0.2633185217335814,0,0,0,0,2,1
Gargoyles,1994,1997,3,78,United States,Traditional,Golden Age (85-96),3,8.0,20264.0,30.0,"Action,Adventure,Animation",0.8354430379746834,0.0625,0.029192619985761104,0.36335037018631366,1,0,0,0,1,0
Funpak,2005,2005,1,13,Canada,"Flash, CGI, Stop-motion, Traditional",Modern (97-09),0,6.7,19.0,23.0,Animation,0.670886075949367,0.0,1.585302230664357e-05,0.2683583936353235,0,0,0,0,1,0
Franklin,1997,2004,6,78,Canada,Traditional,Modern (97-09),7,6.5,6038.0,23.0,"Animation,Comedy,Drama",0.6455696202531644,0.15625,0.008690338591732794,0.315087932749199,0,0,0,0,1,0
Franklin and Friends,2011,2013,2,25,Canada,CGI,Streaming Era (2010+),2,5.0,187.0,,"Animation,Drama,Family",0.45569620253164556,0.03125,0.0002579719084444726,0.19328047398976933,0,0,0,0,3,1
Freakazoid!,1995,1997,2,24,United States,Traditional,Golden Age (85-96),2,7.5,9110.0,30.0,"Action,Adventure,Animation",0.7721518987341771,0.03125,0.013117655366824526,0.323077673335377,1,0,0,0,1,0
Freaky Stories,1997,2000,3,35,Canada,Traditional,Modern (97-09),3,7.5,585.0,22.0,"Animation,Comedy,Fantasy",0.7721518987341771,0.0625,0.0008315630791757582,0.3309436502634648,1,0,0,0,2,1
Fred the Caveman,2002,2002,1,13,Coproduction,Traditional,Modern (97-09),0,6.8,33.0,7.0,"Animation,Comedy",0.6835443037974682,0.0,3.6029596151462665e-05,0.27342672891802516,0,0,0,0,3,1
Free Willy,1994,1994,2,13,Coproduction,Traditional,Golden Age (85-96),0,5.0,181.0,,"Adventure,Animation,Drama",0.45569620253164556,0.03125,0.00024932480536812157,0.19327831221400024,0,0,0,0,2,1
Fresh Beat Band of Spies,2015,2016,1,20,Coproduction,Flash,Streaming Era (2010+),1,7.1,275.0,21.0,"Action,Adventure,Animation",0.721518987341772,0.0,0.00038479608689762117,0.2887037939584332,0,0,0,0,5,1
