title,runtimeMinutes,is_successful,averageRating,technique,era,country
Jackie Chan Adventures,30.0,1,7.4,Traditional,Modern (97-09),Coproduction
James Bond Jr.,30.0,0,6.1,Traditional,Golden Age (85-96),United States
Insektors,12.0,1,7.6,CGI,Golden Age (85-96),France
Infinity Train,11.0,1,8.4,Traditional,Streaming Era (2010+),United States
Hotel Transylvania: The Series,21.0,0,5.6,Toon Boom Harmony,Streaming Era (2010+),Coproduction
House of Mouse,30.0,1,7.5,Traditional,Modern (97-09),United States
Housebroken,21.0,0,6.4,Flash,Streaming Era (2010+),United States
Hulk and the Agents of S.M.A.S.H.,23.0,0,6.1,Traditional,Streaming Era (2010+),United States
Human Resources,30.0,0,7.1,Flash,Streaming Era (2010+),United States
Hurricanes,30.0,1,6.9,Traditional,Golden Age (85-96),Coproduction
Huxley Pig,10.0,0,7.6,Stop-motion,Golden Age (85-96),United Kingdom
I Am Groot,4.0,0,6.7,CGI,Streaming Era (2010+),United States
I Am Weasel,30.0,0,6.5,Traditional,Modern (97-09),United States
I Heart Arlo,11.0,0,6.7,Flash,Streaming Era (2010+),United States
Inanimate Insanity,20.0,1,8.4,Flash,Streaming Era (2010+),United States
Problem Child,30.0,0,3.8,Traditional,Golden Age (85-96),United States
Project G.e.e.K.e.R.,25.0,1,7.8,Traditional,Golden Age (85-96),United States
The Savage Dragon,22.0,0,6.5,Traditional,Golden Age (85-96),Coproduction
The Shivering Truth,11.0,1,8.1,Stop-motion,Streaming Era (2010+),United States
The Shoe People,5.0,0,7.2,Traditional,Golden Age (85-96),United Kingdom
The Simpsons,22.0,1,8.6,Traditional,Golden Age (85-96),United States
The Smoggies,30.0,0,6.6,Traditional,Golden Age (85-96),Coproduction
