title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
Purno de Purno,1989,1996,1,56,Netherlands,Traditional,Golden Age (85-96),7,7.3,55.0,,"Animation,Comedy",tt1854489
Master Raindrop,2008,2008,,26,"Australia, New Zealand, Singapore",CGI,Modern (97-09),0,6.3,218.0,24.0,Animation,tt1395498
The Adventures of Paddy the Pelican,1954,1954,,6,United States,,Classic (pre-1970),0,1.5,400.0,,"Animation,Comedy,Family",tt1733734
Mio Mao,1974,2006,,98,Italy,,Bronze Age (70s-84),32,8.5,95.0,5.0,"Animation,Family",tt10399668
Lucas the Spider,2021,,1,59,United States,CGI,Streaming Era (2010+),2,8.0,336.0,20.0,"Animation,Family,Short",tt9054228
The Silver Brumby,1994,1998,3,39,Australia,Traditional,Golden Age (85-96),4,7.7,190.0,25.0,"Adventure,Animation",tt0343306
Madeline,1993,2001,3,59,United States,Traditional,Golden Age (85-96),8,6.8,2062.0,30.0,"Animation,Family",tt0115257
Gormiti,2009,2011,,26,United Kingdom,CGI,Modern (97-09),2,5.1,188.0,,Animation,tt2644204
ChalkZone,2002,2008,2,42,United States,Traditional,Modern (97-09),6,6.5,4123.0,22.0,"Adventure,Animation,Comedy",tt0235916
Doki,2013,2019,3,76,Canada,Flash,Streaming Era (2010+),6,7.7,289.0,11.0,"Adventure,Animation,Family",tt3648112
ABC Monsters,2011,2011,,26,Malaysia,CGI,Streaming Era (2010+),0,,,22.0,"Adventure,Animation,Comedy",tt14324632
Knuckleheads,2012,2017,,39,Canada,Traditional,Streaming Era (2010+),5,8.1,18.0,,Animation,tt8289148
Jamie's Got Tentacles,2013,2017,3,157,"France, Brazil",Flash,Streaming Era (2010+),4,7.8,76.0,,"Adventure,Animation,Comedy",tt6305532
Sazae-san,1969,,,6342,Japan,,Classic (pre-1970),54,,,,Comedy,tt1614799
Sir Mouse,2019,,,,Ireland,,Streaming Era (2010+),4,,,11.0,Animation,tt36597886
Mao Mao: Heroes of Pure Heart,2019,,,40,United States,Flash,Streaming Era (2010+),4,7.5,1286.0,11.0,"Action,Adventure,Animation",tt10364808
Pimpa,1982,1982,,26,Italy,,Bronze Age (70s-84),0,7.8,30.0,5,"Adventure,Animation,Comedy",tt32012779
Turtle Island,1995,1995,1,26,France,Traditional,Golden Age (85-96),0,5.1,78.0,30.0,"Adventure,Animation,Comedy",tt1046855
Bubble Guppies,2011,2016,5,88,"Canada, United States","CGI, Traditional",Streaming Era (2010+),5,6.2,2716.0,24.0,"Adventure,Animation,Family",tt0965404
Bob and Margaret,1998,2001,4,52,"Canada, UK",Traditional,Modern (97-09),3,7.4,846.0,30.0,"Animation,Comedy,Romance",tt0122813
Dylan,2022,2022,,,United States,CGI,Streaming Era (2010+),0,8.5,63.0,30.0,"Comedy,Horror",tt6354940
Deer Squad,2021,,1,40,China,CGI,Streaming Era (2010+),2,6.0,106.0,11.0,"Action,Adventure,Animation",tt8712470
The Wild Adventures of Blinky Bill,2016,2017,,26,Australia,CGI,Streaming Era (2010+),1,7.1,33.0,,"Action,Adventure,Animation",tt7784624
What-a-Mess,1990,1990,1,13,United Kingdom,Traditional,Golden Age (85-96),0,7.1,76.0,30.0,"Adventure,Animation,Comedy",tt0112223
Bernard,2004,2012,,52,"France, South Korea, Spain",CGI,Modern (97-09),8,6.1,1877.0,3.0,"Animation,Comedy,Family",tt0891369
