title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
Ping and Friends,2018,2019,1,52,Canada Brazil,Flash,Streaming Era (2010+),1,8.1,39.0,7.0,Animation,tt9133942
Pinkalicious & Peterrific,2018,,3,54,United States,Flash,Streaming Era (2010+),5,5.1,201.0,30.0,"Animation,Family,Fantasy",tt7006666
Popeye and Son,1987,1988,1,13,United States,Traditional,Golden Age (85-96),1,5.7,409.0,30.0,"Adventure,Animation,Comedy",tt0252162
Popples,2015,2016,3,26,"United States, France, Russia",CGI,Streaming Era (2010+),1,6.4,86.0,,"Animation,Family",tt4210022
Poppy Cat,2011,2012,,52,United Kingdom,Flash,Streaming Era (2010+),1,5.9,114.0,30.0,"Animation,Family",tt1905943
Popzilla,2009,2009,,12,United States,Flash,Modern (97-09),0,3.5,27.0,30.0,"Animation,Comedy",tt1494137
Postcards from Buster,2004,2012,4,55,"Canada, United States",Traditional/Live-action,Modern (97-09),8,5.8,268.0,22.0,"Animation,Comedy,Family",tt0426774
Potatoes and Dragons,2004,2004,,13,"Canada, France",Traditional,Modern (97-09),0,7.4,134.0,22.0,"Animation,Family,Fantasy",tt0456794
Potlach,2006,2006,,26,"France, Italy",CGI,Modern (97-09),0,7.8,39.0,,Animation,tt0910985
Popetown,2005,2005,,10,United Kingdom,Traditional,Modern (97-09),0,5.0,370.0,24.0,"Animation,Comedy",tt0348983
Pound Puppies,2010,2013,3,65,"Canada, United States",Flash,Streaming Era (2010+),3,6.2,729.0,,"Adventure,Animation,Comedy",tt1761811
Powerbirds,2020,,1,10,United States,Flash,Streaming Era (2010+),3,7.6,49.0,22,"Action,Adventure,Animation",tt11632536
Presto! School of Magic,2021,,1,26,France,CGI,Streaming Era (2010+),2,8.7,20.0,11.0,"Action,Animation,Comedy",tt14872744
Preston Pig,2000,2000,1,10,United Kingdom,Traditional,Modern (97-09),0,6.2,45.0,15.0,"Animation,Family",tt0260647
Pretzel and the Puppies,2022,,,,United States,CGI,Streaming Era (2010+),1,7.5,104.0,23.0,"Animation,Family",tt17524490
Primal,2019,,2,13,United States,Traditional,Streaming Era (2010+),4,8.6,29695.0,22.0,"Action,Adventure,Animation",tt10332508
Princess Sissi,1997,1998,2,52,"Canada, France",Traditional,Modern (97-09),1,6.9,914.0,30.0,"Adventure,Animation,Comedy",tt0283213
Princesse Shéhérazade,1996,1999,1,52,France,Traditional,Golden Age (85-96),3,7.4,154.0,25.0,"Adventure,Animation,Comedy",tt5243998
Power Players,2019,2020,2,78,"United States, France",CGI,Streaming Era (2010+),1,5.1,143.0,11.0,"Action,Adventure,Animation",tt10895604
Pongwiffy,2002,2004,1,13,United Kingdom,Traditional,Modern (97-09),2,8.2,28.0,,"Animation,Comedy,Family",tt0348812
Pond Life,1996,1996,2,21,United Kingdom,Traditional,Golden Age (85-96),0,8.0,164.0,30.0,"Animation,Comedy",tt0320924
Polly Pocket,2018,,3,66,"Canada, United States",Flash,Streaming Era (2010+),5,5.9,232.0,22.0,"Action,Adventure,Animation",tt8673042
Pinkfong Wonderstar,2019,,3,44,South Korea,CGI,Streaming Era (2010+),4,6.5,68.0,,"Animation,Comedy,Drama",tt9854932
Pinky and the Brain,1995,1998,4,66,United States,Traditional,Golden Age (85-96),3,7.8,35147.0,30.0,"Adventure,Animation,Comedy",tt0112123
"Pinky, Elmyra & the Brain",1998,1999,1,13,United States,Traditional,Modern (97-09),1,5.8,1054.0,30.0,"Adventure,Animation,Comedy",tt0170996
Pip Ahoy!,2014,2018,,52,United Kingdom,Flash,Streaming Era (2010+),4,7.7,38.0,11,"Adventure,Animation,Family",tt3796970
Pip and Posy,2021,2021,,,United Kingdom,CGI,Streaming Era (2010+),0,7.6,66.0,,"Animation,Comedy,Family",tt14584834
Pippi Longstocking,1997,1997,2,26,"Canada, Germany",Traditional,Modern (97-09),0,6.2,783.0,30.0,"Adventure,Animation,Comedy",tt0163482
Pirate Express,2015,2015,1,26,"Canada, Australia",Flash,Streaming Era (2010+),0,7.5,39.0,22.0,Animation,tt4178504
Pixcodelics,2005,2005,,65,Brazil,CGI,Modern (97-09),0,6.4,36.0,5.0,"Animation,Family,Sci-Fi",tt4971768
PJ Masks,2015,,6,103,France,CGI,Streaming Era (2010+),8,5.3,2023.0,24.0,"Action,Adventure,Animation",tt4148744
Planet Sheen,2010,2013,1,50,United States,CGI,Streaming Era (2010+),3,3.0,2532.0,30.0,"Adventure,Animation,Comedy",tt1492090
Planet Sketch,2005,2005,,40,United Kingdom,Flash/CGI,Modern (97-09),0,4.4,206.0,,"Animation,Family",tt0815068
Planetorama,2017,2017,,13,Brazil,Flash,Streaming Era (2010+),0,7.2,27.0,,"Animation,Comedy,Sci-Fi",tt12215762
Plankton Invasion,2011,2011,,78,France,CGI,Streaming Era (2010+),0,7.3,66.0,7.0,Animation,tt2072655
Pleasant Goat and Big Big Wolf,2005,,,530,China,Traditional,Modern (97-09),18,6.3,135.0,,"Animation,Comedy,Family",tt8677202
Plonsters,1987,1987,1,13,Germany,Stop Motion,Golden Age (85-96),0,7.0,147.0,,"Adventure,Animation,Comedy",tt3557422
Pocoyo,2005,,4,104,"Spain, Britain (Seasons 1–2)",CGI,Modern (97-09),18,7.1,2879.0,7.0,"Adventure,Animation,Comedy",tt0487849
Poko,2003,2006,,50,Canada,Stop Motion,Modern (97-09),3,6.1,133.0,30.0,"Animation,Comedy,Family",tt0391679
Pink Panther and Pals,2010,2010,1,26,United States,Traditional/Toon Boom,Streaming Era (2010+),0,6.7,1022.0,25.0,"Adventure,Animation,Comedy",tt1058776
Mumble Bumble,1999,1999,1,65,"Canada, Denmark",Traditional,Modern (97-09),0,8.4,27.0,5.0,"Animation,Family,Short",tt1512809
Pablo,2017,,2,105,United Kingdom,CGI,Streaming Era (2010+),6,7.9,74.0,,"Animation,Comedy,Family",tt8016478
Ozzy & Drix,2002,2004,2,26,United States,Traditional,Modern (97-09),2,6.9,1696.0,30.0,"Action,Adventure,Animation",tt0306371
Neighbors from Hell,2010,2010,1,10,United States,Flash,Streaming Era (2010+),0,5.9,830.0,30.0,"Animation,Comedy",tt1592270
Nella the Princess Knight,2017,2021,2,52,"Ireland, Britain, United States",Flash/Toon Boom,Streaming Era (2010+),4,5.1,232.0,22.0,"Action,Adventure,Animation",tt6415656
Nellie the Elephant,1990,1991,2,30,United Kingdom,Traditional,Golden Age (85-96),1,6.2,75.0,5,"Adventure,Animation,Drama",tt1211656
Nelly & Nora,2015,2020,,52,Ireland,Flash,Streaming Era (2010+),5,7.7,44.0,7.0,Animation,tt4476574
New Kids on the Block,1990,1991,1,15,United States,Traditional,Golden Age (85-96),1,4.4,170.0,30.0,"Adventure,Animation,Family",tt0124956
New Looney Tunes,2015,2020,3,156,United States,Flash/Traditional,Streaming Era (2010+),5,5.8,1408.0,11.0,"Adventure,Animation,Comedy",tt4558858
NFL Rush Zone,2010,2014,3,65,United States,Traditional,Streaming Era (2010+),4,6.2,141.0,,"Action,Animation,Comedy",tt2553232
Ned's Newt,1997,1999,3,39,"Canada, Germany",Traditional,Modern (97-09),2,6.4,615.0,30.0,"Animation,Comedy,Family",tt0163952
Night Sweats,2015,2015,1,26,Canada,Traditional,Streaming Era (2010+),0,6.5,17.0,22.0,"Animation,Comedy",tt5002126
Niloya,2014,2020,6,156,Turkey,CGI,Streaming Era (2010+),6,6.9,137.0,,Animation,tt3673316
Nilus the Sandman,1996,1998,2,26,Canada,"Traditional, Live-Action",Golden Age (85-96),2,7.5,35.0,,"Animation,Family",tt0187354
Nina and the Guardians,2019,,,26,Brazil,Flash,Streaming Era (2010+),4,8.1,17.0,,"Animation,Family",tt11130114
Nina's World,2015,2018,2,52,"Canada, United States",Flash,Streaming Era (2010+),3,6.6,99.0,22.0,"Animation,Family",tt5899102
Ninjin,2019,,,22,Brazil,Flash,Streaming Era (2010+),4,7.9,78.0,,"Adventure,Animation,Family",tt11128210
Noah's Island,1997,1999,3,39,United Kingdom,Traditional,Modern (97-09),2,7.3,718.0,25.0,"Adventure,Animation,Family",tt0454733
Noddy,1998,2000,2,66,"Canada, UK","Stop-Motion, Live-Action",Modern (97-09),2,5.6,1772.0,30.0,"Animation,Comedy,Family",tt0199253
Nightmare Ned,1997,1997,1,12,United States,Traditional,Modern (97-09),0,7.1,166.0,30.0,"Animation,Comedy,Family",tt0239181
Nature Cat,2015,2021,3,76,"Canada, United States",Flash,Streaming Era (2010+),6,7.3,512.0,24.0,"Action,Adventure,Animation",tt4947580
NASCAR Racers,1999,2001,2,26,"Canada, United States",Traditional,Modern (97-09),2,6.3,959.0,30.0,"Action,Adventure,Animation",tt0236915
Napoleon Dynamite,2012,2012,,6,United States,Traditional,Streaming Era (2010+),0,6.5,3390.0,30.0,"Animation,Comedy",tt1743880
Muppet Babies,2018,2022,3,62,United States,CGI,Streaming Era (2010+),4,6.5,948.0,23.0,"Adventure,Animation,Comedy",tt6337766
Music Up,2001,2001,1,52,China,Traditional,Modern (97-09),0,7.7,10.0,,"Adventure,Animation,Music",tt28489146
Mutant League,1994,1996,2,40,United States,Traditional,Golden Age (85-96),2,7.5,167.0,30.0,"Action,Animation,Horror",tt0179597
My Dad the Rock Star,2003,2005,,26,"Canada, France",Traditional,Modern (97-09),2,5.2,503.0,30.0,"Animation,Comedy,Family",tt0388625
My Friend Rabbit,2007,2008,,26,Canada,Flash,Modern (97-09),1,7.4,109.0,30.0,"Adventure,Animation,Family",tt1123709
My Friends Tigger & Pooh,2007,2010,,66,United States,CGI,Modern (97-09),3,5.5,651.0,30.0,"Adventure,Animation,Family",tt0805905
My Goldfish Is Evil,2006,2008,,26,Canada,Traditional,Modern (97-09),2,6.2,169.0,,"Adventure,Animation,Family",tt1589824
My Gym Partner's a Monkey,2005,2008,4,100,United States,Traditional,Modern (97-09),3,5.8,7902.0,22.0,"Adventure,Animation,Comedy",tt0451461
My Knight and Me,2016,2017,,52,"Belgium, France",CGI,Streaming Era (2010+),1,4.5,362.0,11.0,"Adventure,Animation,Comedy",tt5995728
My Life Me,2010,2011,2,52,"Canada, France",Flash,Streaming Era (2010+),1,4.4,443.0,22.0,"Animation,Comedy,Family",tt4654650
My Little Pony Tales,1992,1992,1,26,United States,Traditional,Golden Age (85-96),0,6.4,1500.0,30.0,"Adventure,Animation,Family",tt0212679
My Little Pony: Friendship Is Magic,2010,2019,9,222,"Canada, United States",Flash,Streaming Era (2010+),9,7.8,25933.0,22.0,"Adventure,Animation,Comedy",tt1751105
My Little Pony: Make Your Mark,2022,,1,8,United States,CGI,Streaming Era (2010+),1,5.9,837.0,44.0,"Adventure,Animation,Comedy",tt14134334
My Little Pony: Pony Life,2020,,1,52,"United States, Ireland",Flash,Streaming Era (2010+),3,5.0,634.0,11.0,"Adventure,Animation,Comedy",tt11281876
My Little Pony: Tell Your Tale,2022,,1,27,United States,Flash,Streaming Era (2010+),1,5.2,295.0,5.0,"Adventure,Animation,Comedy",tt18270744
My Pet Monster,1987,1987,1,13,Canada,Traditional,Golden Age (85-96),0,6.8,525.0,30.0,"Animation,Comedy,Family",tt0213361
Mysticons,2017,2018,,40,"Canada, United States",Toon Boom Harmony,Streaming Era (2010+),1,5.7,422.0,22.0,"Action,Adventure,Animation",tt7252220
"Noddy, Toyland Detective",2016,2020,,52,"France, United States",CGI,Streaming Era (2010+),4,6.0,186.0,11,"Animation,Family,Mystery",tt3508674
P. King Duckling,2016,2017,2,78,"China, United States",Flash,Streaming Era (2010+),1,6.2,54.0,,"Animation,Family",tt6403002
Noddy's Toyland Adventures,1992,2001,4,53,United Kingdom,Stop-motion,Golden Age (85-96),9,6.1,267.0,10.0,"Animation,Family",tt0108881
Numb Chucks,2014,2016,2,52,Canada,Flash,Streaming Era (2010+),2,5.0,194.0,22,"Action,Animation,Comedy",tt3441018
Olobob Top,2017,2019,,26,British,Flash,Streaming Era (2010+),2,8.4,27.0,,"Animation,Family",tt8016084
Om Nom Stories,2011,,19,181,"United Kingdom, Russia","Flash, Live-Action (seasons 1–2)",Streaming Era (2010+),12,6.0,191.0,3.0,"Action,Adventure,Animation",tt4643420
Once Upon a Time... Life,1987,1987,1,26,France,Traditional,Golden Age (85-96),0,8.2,6048.0,30.0,"Animation,Family",tt0284735
Once Upon a Time... The Americas,1991,1991,1,26,France,Traditional,Golden Age (85-96),0,7.3,1013.0,30.0,"Adventure,Animation,Comedy",tt0284736
Once Upon a Time... The Discoverers,1994,1994,1,26,France,Traditional,Golden Age (85-96),0,7.6,1375.0,30.0,"Animation,Family,History",tt0284737
Once Upon a Time... The Explorers,1996,1996,1,26,France,Traditional,Golden Age (85-96),0,7.5,1189.0,30.0,"Animation,Family,History",tt0284738
Onyx Equinox,2020,2020,1,12,United States,Traditional,Streaming Era (2010+),0,7.0,614.0,,"Action,Adventure,Animation",tt12605636
Olliver's Adventures,2002,2002,3,39,Canada,Flash,Modern (97-09),0,6.3,120.0,22.0,Animation,tt0398532
Oppa Keki,2016,,4,,Brazil,Flash,Streaming Era (2010+),7,,,,Animation,tt13066358
Oswald,2001,2003,1,24,"Britain, United States",Traditional,Modern (97-09),2,7.6,2537.0,30.0,"Animation,Family,Musical",tt0293734
Oswaldo,2017,,2,26,Brazil,Flash,Streaming Era (2010+),6,7.9,272.0,,"Animation,Comedy,Family",tt8188422
Ouk an lavois para tou mi ehontos,2010,2011,,13,Greece,Traditional,Streaming Era (2010+),1,7.8,772.0,,"Animation,Comedy",tt1761768
Our Cartoon President,2018,2020,3,46,United States,Flash,Streaming Era (2010+),2,5.5,3975.0,30.0,"Adventure,Animation,Comedy",tt7689460
Out of Jimmy's Head,2007,2008,1,20,United States,Flash/Live-Action,Modern (97-09),1,2.4,968.0,30.0,"Animation,Comedy,Family",tt1078463
Out There,2013,2013,1,10,United States,Flash,Streaming Era (2010+),0,6.6,853.0,,"Animation,Comedy,Drama",tt2377271
Ovide and the Gang,1987,1988,1,65,Canada,Traditional,Golden Age (85-96),1,7.1,303.0,30.0,"Animation,Family",tt0388631
Origanimals,2016,,,52,Malaysia,CGI,Streaming Era (2010+),7,7.9,9.0,11.0,"Adventure,Animation",tt11718916
Ollie's Pack,2020,2021,1,20,Canada,Traditional,Streaming Era (2010+),1,6.0,205.0,22,"Animation,Comedy,Family",tt11933966
Olivia,2009,2015,,40,"Britain, United States",CGI,Modern (97-09),6,5.8,388.0,,"Animation,Family",tt1458518
Old Bear Stories,1993,1997,3,41,United Kingdom,Traditional,Golden Age (85-96),4,8.4,234.0,10.0,"Animation,Family,Short",tt0426765
Numberblocks,2017,2021,,120,British,CGI,Streaming Era (2010+),4,8.7,638.0,5.0,"Adventure,Animation,Family",tt7978538
Numberjacks,2006,2009,,67,United Kingdom,CGI,Modern (97-09),3,5.9,374.0,,"Animation,Family",tt1695622
Nutri Ventures,2012,2014,,100,Portugal,Traditional,Streaming Era (2010+),2,7.5,123.0,24.0,"Adventure,Animation",tt6571588
O'Grady,2004,2006,,19,United States,Flash,Modern (97-09),2,8.4,487.0,30.0,"Animation,Comedy",tt0423705
Oakie Doke,1995,1996,2,28,United Kingdom,Traditional,Golden Age (85-96),1,7.1,186.0,,"Animation,Family",tt0290365
Object Mayhem,2012,,3,21,Ireland,Flash,Streaming Era (2010+),11,8.7,27.0,,"Animation,Comedy,Reality-TV",tt17072760
Object Overload,2013,,,7,United Kingdom,Flash,Streaming Era (2010+),10,7.7,15.0,,Animation,tt28186598
Octonauts: Above & Beyond,2021,,2,26,"United Kingdom, Canada",CGI,Streaming Era (2010+),2,7.2,246.0,25.0,"Adventure,Animation,Family",tt15211330
Odd Job Jack,2003,2007,,52,Canada,Flash,Modern (97-09),4,6.2,384.0,23.0,"Animation,Comedy",tt0373584
Oddballs,2022,2022,,,United States,Traditional,Streaming Era (2010+),0,6.4,1672.0,20.0,"Adventure,Animation,Comedy",tt21107718
Odo,2021,,1,14,United States,Flash,Streaming Era (2010+),2,7.8,55.0,7.0,"Animation,Family",tt16538364
Off the Air,2011,,12,43,United States,"Traditional, Flash, CGI, Live-action, Stop Motion",Streaming Era (2010+),12,8.4,1145.0,11.0,"Animation,Comedy,Horror",tt2289131
Oggy and the Cockroaches: Next Generation,2022,,1,13,France,Flash,Streaming Era (2010+),1,5.7,197.0,,"Adventure,Animation,Comedy",tt21195494
Oh No! It's an Alien Invasion,2013,2015,2,40,Canada,CGI,Streaming Era (2010+),2,2.7,210.0,11.0,"Action,Adventure,Animation",tt3144632
Oh Noah!,2011,2013,1,15,Canada,Flash,Streaming Era (2010+),2,7.8,32.0,,"Adventure,Animation,Family",tt2403697
Oh Yeah! Cartoons,1998,2001,3,32,United States,"Traditional, CGI",Modern (97-09),3,7.3,368.0,,"Action,Adventure,Animation",tt0177455
OK K.O.! Let's Be Heroes,2017,2019,,112,United States,Traditional,Streaming Era (2010+),2,6.9,4052.0,11.0,"Action,Adventure,Animation",tt6965802
Norman Picklestripes,2019,2021,,52,"Britain, Canada, United States",Stop-motion,Streaming Era (2010+),2,7.7,38.0,,Animation,tt10703292
Leon,2009,2010,,52,France,CGI,Modern (97-09),1,7.4,80.0,3.0,"Animation,Family,Short",tt1623187
Leo the Wildlife Ranger,2015,2021,2,126,Singapore,CGI,Streaming Era (2010+),6,8.3,49.0,22.0,Animation,tt5375224
Lego Star Wars: The Yoda Chronicles,2013,2014,1,7,Denmark,CGI,Streaming Era (2010+),1,7.0,1330.0,25.0,"Action,Adventure,Animation",tt3014650
Future-Worm!,2016,2018,,21,United States,Flash,Streaming Era (2010+),2,5.4,343.0,22.0,"Animation,Comedy,Family",tt4715134
Futz!,2007,2007,,26,Canada,Flash,Modern (97-09),0,6.0,36.0,3,"Animation,Comedy,Short",tt1202623
G.I. Joe Extreme,1995,1997,2,26,United States,Traditional,Golden Age (85-96),2,5.1,197.0,,"Action,Animation",tt0115183
G.I. Joe: Renegades,2010,2011,1,26,United States,Traditional,Streaming Era (2010+),1,7.1,1308.0,,"Action,Adventure,Animation",tt1705038
Gabby's Dollhouse,2021,,4,33,United States,CGI/Live-Action,Streaming Era (2010+),2,7.1,1110.0,24.0,"Adventure,Animation,Comedy",tt9165438
Galactik Football,2006,2011,,78,France,CGI,Modern (97-09),5,7.7,4091.0,26.0,"Action,Animation,Comedy",tt0877105
Game Over,2004,2004,,6,United States,CGI,Modern (97-09),0,5.8,171.0,30.0,"Action,Animation,Comedy",tt0397149
Futurama,1999,2003,7,140,United States,Traditional,Modern (97-09),4,8.5,278642.0,22.0,"Adventure,Animation,Comedy",tt0149460
Garfield and Friends,1988,1994,7,121,United States,Traditional,Golden Age (85-96),6,7.2,14964.0,30.0,"Animation,Comedy,Family",tt0094469
Gary & Mike,2001,2001,1,13,United States,Stop Motion,Modern (97-09),0,7.5,318.0,22.0,"Animation,Comedy",tt0235904
Gary the Rat,2003,2003,,13,United States,Flash,Modern (97-09),0,6.6,249.0,30.0,"Animation,Comedy,Fantasy",tt0372062
Gaspard and Lisa,2011,2012,,51,United Kingdom,CGI,Streaming Era (2010+),1,8.0,115.0,10.0,"Animation,Short",tt2084837
Gattu Battu,2017,2020,,,India,CGI,Streaming Era (2010+),3,5.4,82.0,,"Animation,Comedy",tt7670400
Gawayn,2009,2012,2,104,France,Flash,Modern (97-09),3,6.5,144.0,13.0,"Adventure,Animation,Comedy",tt1674864
Generation Jets,2003,2004,,13,United States,Traditional,Modern (97-09),1,6.4,18.0,30.0,"Animation,Family,Sport",tt0381757
Generation O!,2000,2001,1,13,United States,Traditional,Modern (97-09),1,6.6,84.0,26.0,"Animation,Comedy,Family",tt0261473
Gargoyles,1994,1997,3,78,United States,Traditional,Golden Age (85-96),3,8.0,20264.0,30.0,"Action,Adventure,Animation",tt0108783
Funpak,2005,2005,1,13,Canada,"Flash, CGI, Stop-motion, Traditional",Modern (97-09),0,6.7,19.0,23.0,Animation,tt0446525
Full English,2012,2012,,6,United Kingdom,Traditional,Streaming Era (2010+),0,5.2,331.0,60.0,"Animation,Comedy",tt2501212
Fugget About It,2012,2016,,39,Canada,Flash,Streaming Era (2010+),4,6.9,1884.0,22.0,"Animation,Comedy,Crime",tt1799834
Franklin,1997,2004,6,78,Canada,Traditional,Modern (97-09),7,6.5,6038.0,23.0,"Animation,Comedy,Drama",tt0203254
Franklin and Friends,2011,2013,2,25,Canada,CGI,Streaming Era (2010+),2,5.0,187.0,,"Animation,Drama,Family",tt2125149
Franny's Feet,2003,2010,,52,"Canada, Britain",Flash,Modern (97-09),7,5.7,215.0,11.0,"Adventure,Animation,Comedy",tt0380111
Freak Show,2006,2007,,7,United States,Flash,Modern (97-09),1,5.1,433.0,22.0,"Animation,Comedy",tt0854504
Freakazoid!,1995,1997,2,24,United States,Traditional,Golden Age (85-96),2,7.5,9110.0,30.0,"Action,Adventure,Animation",tt0111970
Freaktown,2016,2016,,26,Canada,Flash,Streaming Era (2010+),0,4.7,107.0,11.0,Animation,tt4322984
Freaky Stories,1997,2000,3,35,Canada,Traditional,Modern (97-09),3,7.5,585.0,22.0,"Animation,Comedy,Fantasy",tt0166432
Fred the Caveman,2002,2002,1,13,"Canada, France",Traditional,Modern (97-09),0,6.8,33.0,7.0,"Animation,Comedy",tt0354588
Fred's Head,2008,2008,,26,"Canada, France",Flash,Modern (97-09),0,7.5,63.0,22.0,Animation,tt4702672
Free for All,2003,2003,,7,United States,Traditional,Modern (97-09),0,6.5,334.0,26.0,"Animation,Comedy",tt0356258
Free Willy,1994,1994,2,13,"United States, Canada",Traditional,Golden Age (85-96),0,5.0,181.0,,"Adventure,Animation,Drama",tt0179569
Freedom Fighters: The Ray,2017,2018,,12,United States,Traditional,Streaming Era (2010+),1,5.9,1517.0,6.0,"Action,Animation,Fantasy",tt5957358
Freefonix,2008,2008,,40,United Kingdom,CGI,Modern (97-09),0,8.0,88.0,22.0,"Animation,Family,Music",tt0943642
Fresh Beat Band of Spies,2015,2016,1,20,"United States, Canada",Flash,Streaming Era (2010+),1,7.1,275.0,21.0,"Action,Adventure,Animation",tt4791498
Friday: The Animated Series,2007,2007,,8,United States,Flash,Modern (97-09),0,6.1,202.0,158.0,"Animation,Comedy",tt1077170
Frisky Dingo,2006,2008,,25,United States,Flash,Modern (97-09),2,8.1,7960.0,11.0,"Animation,Comedy,Sci-Fi",tt0865409
Fudêncio e Seus Amigos,2005,2011,6,179,Brazil,Flash,Modern (97-09),6,7.5,198.0,15.0,"Animation,Comedy,Short",tt2665368
Generator Rex,2010,2013,3,60,United States,Traditional,Streaming Era (2010+),3,7.6,9765.0,24.0,"Action,Adventure,Animation",tt1636691
Frankenstein's Cat,2007,2008,,22,"France, Britain",Flash,Modern (97-09),1,6.5,63.0,,"Animation,Comedy,Family",tt1397341
